playerID,name,dob,address,phone,email,url,username,team
1,Siggi,23-05-2003,Nei,8848479,haha@email.com,njkfg,siggi,Faze
2,Halldor,26-03-2003,Keflavik 3,888-6969,dori@email.com,ja.is,haalldor,Faze
3,Kiddi,12-05-2003,Reykjavik 18,8886969,kiddi@kiddi.is,blush.is,kiddi03,
4,Einar,28-09-2003,Smáralind 4,8886969,einar@ui.com,ja.is,einar,Lego Fans
5,Kristján,28-11-2003,Elko,8886969,kristjan@elko.is,leikjanet.com,westorin,MOUZ
6,Ari,16-02-2003,Egilstaðir 19,5812345,ari@nari.is,wikihow.com,aribesti123,
7,NiKo,11-11-1111,address1,1111111,email,url,NiKo,Falcons
8,TeSeS,11-11-1111,address,phone,email,url,TeSes,
9,m0NESY,11-11-1111,address,phone,email,url,m0NESY,
10,kyxsan,11-11-1111,address,phone,email,url,kyxsan,FURIA
11,kyousuke,11-11-1111,address,phone,email,url,kyousuke,Vitality
